                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.66735,                0.35655,                0.82824,                0.99277,                      1,                  0.995,                0.90136,                0.46121,                0.31638,                0.79848,               0.003218,               0.003218,               0.003218
                     39,                0.68812,                0.34904,                0.82732,                0.99291,                      1,                  0.995,                0.92643,                0.41404,                0.27429,                0.79581,              0.0031685,              0.0031685,              0.0031685
                     40,                0.65415,                0.33859,                0.82254,                0.99291,                      1,                  0.995,                0.91155,                0.42502,                0.28234,                0.79804,               0.003119,               0.003119,               0.003119
                     41,                0.67439,                0.35732,                0.82442,                0.99291,                      1,                  0.995,                 0.8991,                0.46631,                0.29727,                0.80649,              0.0030695,              0.0030695,              0.0030695
                     42,                 0.6596,                0.34472,                 0.8335,                0.99291,                      1,                  0.995,                0.91396,                0.42251,                0.28383,                0.80005,                0.00302,                0.00302,                0.00302
                     43,                0.68384,                0.35444,                0.81633,                0.99955,                      1,                  0.995,                0.92867,                0.43168,                0.28164,                0.79711,              0.0029705,              0.0029705,              0.0029705
                     44,                0.68806,                0.35476,                0.83376,                0.99958,                      1,                  0.995,                0.91566,                0.45659,                0.28016,                0.79999,               0.002921,               0.002921,               0.002921
                     45,                0.64889,                0.34263,                0.83561,                0.99957,                      1,                  0.995,                0.91905,                0.44928,                0.28147,                0.80061,              0.0028715,              0.0028715,              0.0028715
                     46,                0.67658,                0.33674,                0.83648,                0.99957,                      1,                  0.995,                0.92952,                0.42852,                0.26472,                0.79804,               0.002822,               0.002822,               0.002822
                     47,                0.64122,                0.33343,                0.82805,                0.99958,                      1,                  0.995,                0.91348,                0.42937,                0.27767,                0.80035,              0.0027725,              0.0027725,              0.0027725
                     48,                0.67105,                0.33557,                0.82643,                0.99958,                      1,                  0.995,                0.90852,                0.45021,                0.28596,                0.80228,               0.002723,               0.002723,               0.002723
                     49,                 0.6251,                 0.3201,                0.82396,                      1,                      1,                  0.995,                0.93262,                0.40246,                0.26971,                0.79927,              0.0026735,              0.0026735,              0.0026735
                     50,                0.63483,                 0.3188,                0.82043,                0.99291,                      1,                  0.995,                0.92628,                0.43044,                0.26794,                0.80062,               0.002624,               0.002624,               0.002624
                     51,                0.61626,                0.31836,                0.82017,                0.99291,                      1,                  0.995,                0.90703,                  0.504,                0.29296,                0.80893,              0.0025745,              0.0025745,              0.0025745
                     52,                0.62557,                0.32031,                0.82812,                      1,                      1,                  0.995,                0.88803,                0.55471,                0.29677,                0.81576,               0.002525,               0.002525,               0.002525
                     53,                0.63083,                0.33093,                0.82943,                      1,                      1,                  0.995,                0.90588,                  0.467,                0.29575,                0.80443,              0.0024755,              0.0024755,              0.0024755
                     54,                0.62252,                 0.3278,                0.81319,                0.99955,                      1,                  0.995,                0.93102,                0.38695,                0.26011,                0.79516,               0.002426,               0.002426,               0.002426
                     55,                0.63013,                 0.3242,                0.83114,                0.99957,                      1,                  0.995,                0.91945,                0.43104,                 0.2647,                0.79897,              0.0023765,              0.0023765,              0.0023765
                     56,                 0.6113,                0.31866,                 0.8151,                0.99957,                      1,                  0.995,                0.91753,                0.45864,                0.28208,                0.80057,               0.002327,               0.002327,               0.002327
                     57,                0.61093,                0.32531,                 0.8152,                0.99957,                      1,                  0.995,                0.93092,                0.42825,                0.27638,                0.79571,              0.0022775,              0.0022775,              0.0022775
                     58,                0.63286,                0.32083,                0.82337,                0.99957,                      1,                  0.995,                0.93385,                0.40615,                 0.2569,                0.79533,               0.002228,               0.002228,               0.002228
                     59,                0.61643,                0.31833,                0.82082,                0.99957,                      1,                  0.995,                 0.9369,                0.39811,                0.25814,                0.79195,              0.0021785,              0.0021785,              0.0021785
                     60,                0.60718,                0.32131,                0.81675,                0.99249,                      1,                 0.9945,                0.94216,                 0.4147,                0.28643,                0.79523,               0.002129,               0.002129,               0.002129
                     61,                0.61106,                 0.3172,                0.81761,                0.99248,                      1,                0.99465,                0.93763,                 0.4119,                0.27451,                0.79607,              0.0020795,              0.0020795,              0.0020795
                     62,                0.60314,                 0.3101,                 0.8207,                0.99958,                      1,                  0.995,                  0.945,                0.40381,                0.26293,                 0.7945,                0.00203,                0.00203,                0.00203
                     63,                0.60528,                0.30661,                0.81805,                0.99959,                      1,                  0.995,                0.94237,                0.40592,                0.25882,                0.79429,              0.0019805,              0.0019805,              0.0019805
                     64,                0.60101,                0.31103,                0.80933,                0.99262,                      1,                  0.995,                 0.9366,                0.41682,                 0.2593,                0.79519,               0.001931,               0.001931,               0.001931
                     65,                0.59916,                0.30854,                0.82044,                0.99262,                      1,                  0.995,                0.93856,                0.40132,                0.24478,                0.79501,              0.0018815,              0.0018815,              0.0018815
                     66,                0.59222,                0.29931,                0.81768,                 0.9926,                      1,                  0.995,                0.93832,                0.39177,                0.24711,                 0.7944,               0.001832,               0.001832,               0.001832
                     67,                 0.6226,                0.30497,                0.82048,                0.99248,                      1,                  0.995,                0.92216,                0.39756,                0.25673,                0.79215,              0.0017825,              0.0017825,              0.0017825
                     68,                0.59473,                0.29942,                0.81214,                0.99291,                      1,                  0.995,                0.91234,                 0.4307,                0.24578,                 0.7982,               0.001733,               0.001733,               0.001733
